Local Time,Demand
10Jan2023 18:00:00,"32,364"
10Jan2023 19:00:00,"34,059"
10Jan2023 20:00:00,"34,076"
10Jan2023 21:00:00,"33,389"
10Jan2023 22:00:00,"32,334"
10Jan2023 23:00:00,"31,183"
11Jan2023 0:00:00,"29,356"
11Jan2023 1:00:00,"28,073"
11Jan2023 2:00:00,"26,967"
11Jan2023 3:00:00,"26,129"
11Jan2023 4:00:00,"26,031"
11Jan2023 5:00:00,"25,873"
11Jan2023 6:00:00,"26,395"
11Jan2023 7:00:00,"28,137"
11Jan2023 8:00:00,"31,110"
11Jan2023 9:00:00,"32,681"
11Jan2023 10:00:00,"33,079"
11Jan2023 11:00:00,"33,327"
11Jan2023 12:00:00,"32,273"
11Jan2023 13:00:00,"31,359"
11Jan2023 14:00:00,"31,041"
11Jan2023 15:00:00,"30,924"
11Jan2023 16:00:00,"31,179"
11Jan2023 17:00:00,"31,599"
11Jan2023 18:00:00,"33,386"
11Jan2023 19:00:00,"34,838"
11Jan2023 20:00:00,"34,636"
11Jan2023 21:00:00,"34,009"
11Jan2023 22:00:00,"33,179"
11Jan2023 23:00:00,"31,886"
12Jan2023 0:00:00,"29,741"
12Jan2023 1:00:00,"28,352"
12Jan2023 2:00:00,"27,743"
12Jan2023 3:00:00,"27,009"
12Jan2023 4:00:00,"26,652"
12Jan2023 5:00:00,"26,488"
12Jan2023 6:00:00,"26,475"
12Jan2023 7:00:00,"27,619"
12Jan2023 8:00:00,"29,944"
12Jan2023 9:00:00,"31,325"
12Jan2023 10:00:00,"31,171"
12Jan2023 11:00:00,"30,690"
12Jan2023 12:00:00,"29,710"
12Jan2023 13:00:00,"28,873"
12Jan2023 14:00:00,"28,420"
12Jan2023 15:00:00,"28,266"
12Jan2023 16:00:00,"27,688"
12Jan2023 17:00:00,"28,649"
12Jan2023 18:00:00,"30,094"
12Jan2023 19:00:00,"32,123"
12Jan2023 20:00:00,"32,535"
12Jan2023 21:00:00,"31,865"
12Jan2023 22:00:00,"30,992"
12Jan2023 23:00:00,"29,953"
13Jan2023 0:00:00,"28,493"
13Jan2023 1:00:00,"27,348"
13Jan2023 2:00:00,"26,278"
13Jan2023 3:00:00,"25,594"
13Jan2023 4:00:00,"25,071"
13Jan2023 5:00:00,"24,713"
13Jan2023 6:00:00,"25,395"
13Jan2023 7:00:00,"26,910"
13Jan2023 8:00:00,"29,479"
13Jan2023 9:00:00,"31,083"
13Jan2023 10:00:00,"31,155"
13Jan2023 11:00:00,"30,961"
13Jan2023 12:00:00,"31,033"
13Jan2023 13:00:00,"31,065"
13Jan2023 14:00:00,"31,118"
13Jan2023 15:00:00,"30,136"
13Jan2023 16:00:00,"29,715"
13Jan2023 17:00:00,"29,897"
13Jan2023 18:00:00,"30,949"
13Jan2023 19:00:00,"32,761"
13Jan2023 20:00:00,"32,456"
13Jan2023 21:00:00,"31,885"
13Jan2023 22:00:00,"31,050"
13Jan2023 23:00:00,"30,134"
14Jan2023 0:00:00,"28,503"
14Jan2023 1:00:00,"26,790"
14Jan2023 2:00:00,"26,006"
14Jan2023 3:00:00,"25,261"
14Jan2023 4:00:00,"24,620"
14Jan2023 5:00:00,"24,354"
14Jan2023 6:00:00,"24,415"
14Jan2023 7:00:00,"25,082"
14Jan2023 8:00:00,"26,266"
14Jan2023 9:00:00,"27,178"
14Jan2023 10:00:00,"28,331"
14Jan2023 11:00:00,"29,424"
14Jan2023 12:00:00,"29,911"
14Jan2023 13:00:00,"29,654"
14Jan2023 14:00:00,"29,730"
14Jan2023 15:00:00,"30,103"
